S. Np,Question no,Subject,Topic,option_a,option_b,option_c,option_d,Correct Answer,Year
1,"Q1.If the first term of an A.P. is 3 and the sum of its first four terms is equal to one-fifth of the sum of the next four
terms, then the sum of the first 20 terms is equal to",Maths,Arithmetic Progression,-1080,-1020,-1200,-120,C,2025
2,"Q3. Let the position vectors of the vertices A,B and C of a tetrahedron ABCD be i+2j+k, i+3j-2k and 2i+ j - k respectively. The altitude from the vertex to the opposite face meets the median line segment through of the triangle at the point . If the length of is and the volume of the
tetrahedron is , then the position vector of is",Maths,Vectors & 3D Geometry, 2/3, 1/2, 4/9, 3/5,B,2025
3,"Marks obtains by all the students of class 12 are presented in a freqency distribution with classes of equal width.
Let the median of this grouped data be 14 with median class interval 12-18 and median class frequency 12 . If
the number of students whose marks are less than 12 is 18 , then the total number of students is",Maths,Statistics,52,48,44,40,C,2025
4,"""Let a curve y = f(x) pass through the points (0, 5) and (loge 2, k). If the curve satisfies the differential equation:
2(3 + y)e^(2x) dx − (7 + e^(2x)) dy = 0
Then k is equal to:
",Maths,Differential Equation,4,32,8,16,C,2025
5,"""If the function f(x) is defined as:
f(x) = { (2/x) * (sin((k1 + 1)x) + sin((k2 − 1)x)), x < 0 4, x = 0
(2/x) * loge((2 + k1x)/(2 + k2x)), x > 0}
If f(x) is continuous at x = 0, then k1² + k2² is:",Maths,Differential Equation,20,5,8,10,D,2025
6,"Let D be the foot of the perpendicular from the point P(10, −3, −1) on the line:
(x−3)/7 = (y−2)/−1 = (z+1)/−2
Then the area of the right-angled triangle PQR, where Q = (3, −2, 1), is:",Maths,3D geometry,9√15,√30,8√15,3√30,D,2025
7,"Let the arc AB of a circle subtend a right angle at the center O. If the point C on the arc AB divides the arc such that:
(length of arc AB)/(length of arc BC) = 1/5,
and OC = αOA + βOB, then α + √2(√3 − 1)β is:
(1) 2√3 (2) 2−√3 (3) 5√3 (4) 2 + √3",Maths,Vectors & 3D Geometry,2√3,2−√3,5√3,2+√3,D,2025
8,"The number of words which can be formed using all the letters of the word ""DAUGHTER"", so that all the vowels never come together, is:",Maths,Permutations and Combinations,36000,37000,34000,35000,D,2025
9,"Let the area of a triangle with vertices P(5, 4), Q(−2, 4), and R(a, b) be 35 square units. If its orthocenter and centroid are O(2, 14/5) and C(c, d) respectively, then c + 2d is:",Maths,Coordinate Geometrt,2.67,2.33,2,3,D,2025
10,The sum of all rational terms in the expansion of (√3 + √5)^12 is equal to:,Maths,Binomial Thoerem,22,39,40,26,C,2025
11,"Statement I: Fructose does not contain an aldehydic group but still reduces Tollen's reagent.
Statement II: In the presence of base, fructose undergoes rearrangement to give glucose. ",Chemistry,Biomolecules,Both Statement I and Statement II are true,Both Statement I and Statement II are false,Statement I is true but Statement II is false, Statement I is false but Statement II is true,A,2025
12,The complex that shows Facial - Meridional isomerism is:,Chemistry,Coordination Compounds,(1) [Co(en)2Cl2]+,(2) [Co(en)3]3+,(3) [Co(NH3)3Cl3],(4) [Co(NH3)4Cl2]+,D,2025
13,"What amount of bromine will be required to convert 2 g of phenol into 2,4,6-tribromophenol? (Given molar mass in g/mol of C, H, O, Br are 12, 1, 16, 80 respectively)
",Chemistry,Halogenation,20.44g,4.0g,6.0g,10.22g,D,2025
14,Which among the following react with Hinsberg's reagent?,Chemistry,Amines,"A,B and E","A,C and E",C and D,B and D,B,2025
15,"Statement I: In Lassaigne's test, the covalent organic molecules are transformed into ionic compounds.
Statement II: The sodium fusion extract of an organic compound having N and S gives prussian blue colour with FeSO4 and Na4[Fe(CN)6].",Chemistry,Qualitative Analysis,Statement I is true but Statement II is false,Both Statement I and Statement II are false,Both Statement I and Statement II are true, Statement I is false but Statement II is true,C,2025
16,"Propane molecule on chlorination under photochemical condition gives two di-chloro products, ""x"" and ""y"". Amongst ""x"" and ""y"", ""x"" is an optically active molecule. How many tri-chloro products (consider only structural isomers) will be obtained from ""x"" when it is further treated with chlorine under the photochemical condition?",Chemistry, Isomerism,2,5,4,3,D,2025
17,"0.1 molal aqueous solution of a chromium complex shows a depression in freezing point of 0.558°C. Assuming 100% ionisation and coordination number of Cr is 6, the complex will be:
(Given Kf = 1.86 K kg mol−1)
(1) [Cr(NH3)5Cl]Cl2
(2) [Cr(NH3)6]Cl3
(3) [Cr(NH3)3Cl3]
(4) [Cr(NH3)4Cl2]Cl",Chemistry,Solutions and Colligative Properties,[Cr(NH3)5Cl]Cl2,[Cr(NH3)6]Cl3, [Cr(NH3)3Cl3],[Cr(NH3)4Cl2]Cl,B,2025
18,"The major product of the following reaction is:
CH3CH2CH=O + excess HCHO + alkali (reflux)",Chemistry,Aldol Condensation – Organic Reactions,CH3CH(OH)CH2CH2OH, CH3CH2CH(OH)CH2OH,HOCH2CH2CH2CH2OH,CH3CH(OH)CH2CH2CH2OH,A,2025
19,"The incorrect statement among the following is:
(1) PH3 shows lower proton affinity than NH3.
(2) PF3 can act as an oxidizing agent, but not as a reducing agent.
(3) NF3 exists but NCl3 does not.
(4) NO2 can dimerise easily.",Chemistry,Chemical Bonding and Periodic Properties,PH3 shows lower proton affinity than NH3.,"PF3 can act as an oxidizing agent, but not as a reducing agent",NF3 exists but NCl3 does not.,NO2 can dimerise easily.,C,2025
20,Heat treatment of muscular pain involves radiation of wavelength about 900 nm. Which spectral line of H atom is suitable for this? (Given: Rydberg constant RH = 1.097 × 10^7 m^−1),Chemistry,Atomic Structure – Spectral Series,"Balmer series, ∞ → 2","Lyman series, ∞ → 1","Paschen series, ∞ → 3","Paschen series, 5 → 3",D,2025
21,"A spherical surface of radius of curvature R = 1.5, separates air from glass (refractive index μ2). The centre of curvature is in the glass medium. A point object O placed in air on the optic axis of the surface, so that its real image is formed at I inside glass. The line OI intersects the spherical surface at P and PO = PI. The distance PO equals to:",Physics,Ray Optics,5R,3R,1.5R,2R,B,2025
22,"The position of a particle moving on x-axis is given by x(t) = A sin(t) + B cos²(t) + Ct² + Dt. The dimension of A is:
(1) L²T^−2 (2) L² (3) L (4) L³T^−2",Physics,Kinematics,L²T^−2,L²,L,L³T^−2,C,2025
23,"Refer to the circuit diagram given. Which of the following observations are correct?
A. Total resistance of circuit is 6Ω
B. Current in Ammeter is 1 A
C. Potential across AB is 4V
D. Potential across CD is 4V
E. Total resistance of circuit is 8Ω",Physics,Circuits,"A,B and D ","A,B and C","A, C and D Only","B, C and E Only",A,2025
24,"Statement I: The hot water flows faster than cold water.
Statement II: Soap water has higher surface tension as compared to fresh water.
(1) Statement I is true but Statement II is false
(2) Statement I is false but Statement II is true
(3) Both Statement I and Statement II are false
(4) Both Statement I and Statement II are true",Physics,Surface Tenstion,Statement I is true but Statement II is false, Statement I is false but Statement II is true,Both Statement I and Statement II are true,Both Statement I and Statement II are false,C,2025
25,"A sub-atomic particle of mass 10^−30 kg is moving with velocity 2.21 × 10^6 m/s. Under the matter wave consideration, the particle will behave closely like:
",Physics,de Broglie Waves,Visible Radiation,Gamma Rays,IR-Radiation,X-rays,D,2025
26,"Consider a moving coil galvanometer (MCG):
A. The torsional constant in MCG has dimensions [ML²T^−2]
B. Increasing current sensitivity may not necessarily increase voltage sensitivity
C. Doubling number of turns doubles voltage sensitivity
D. MCG can be converted into ammeter using large shunt resistance
E. Current sensitivity is inversely proportional to number of turns",Physics,Instruments," A, D Only"," A, B, E Only"," B, D, E Only","A, B Only",A,2025
27,"A gun fires a lead bullet of temperature 300K into a wooden block. The bullet, having melting temperature of 600K, melts completely inside. If total heat required is 625J, find mass of bullet. 
(Latent heat of fusion = 2.5 × 10^4 J/kg, Specific heat = 125 J/kg·K)",Physics,Calorimetry,10g,20g,5g,15g,A,2025
28,"A radioactive nucleus A has 3 times decay constant as that of nucleus B. If initial amounts are same, what is ratio of number of nuclei of A to B after one half-life of B?",Physics,Radioactivity,0.13,8,4,0.25,A,2025
